
僮 | tóng | page, boy servant
榛 | zhēn | hazelnut; thicket, underbrush
烯 | xī | alkene
膊 | bó | shoulders, upper arms
淅 | xī | water used wash rice; to wash ric
纣 | zhòu | name of an emperor; saddle part
佶 | jí | strong, robust; exact, correct
葩 | pā | flowers
嫡 | dí | legal wife, child of legal wife
狞 | níng | ferocious appearance; hideous
缄 | jiān | seal, close; bind; letter
诿 | wěi | pass buck, lay blame on others
帛 | bó | silks, fabrics; wealth, property
甬 | yǒng | path; river in Ningbo; Ningbo
芩 | qín | salt marsh plant
蹛 | dài | 
玑 | jī | pearl that is not quite round
鹫 | jiù | condor, vulture
豊 | lǐ | abundant, lush, bountiful, plenty
倜 | tì | raise high; unrestrained
蹴 | cù | kick; tread on; leap; solemn
镂 | lòu | carve, inlay, engrave, tattoo
丘 | qiū | hill; elder; empty; a name
腓 | féi | calf; avoid; be ill; wither
邸 | dǐ | official residence, residence of
脯 | fǔ | dried meat; preserved fruits
毁 | huǐ | destroy, ruin, injure; slander
菀 | wǎn | luxuriance of growth
犊 | dú | calf; victim of sacrifice
珂 | kē | inferior kind of jade
盅 | zhōng | small cup or bowl
挹 | yì | to bale out; to decant liquids
烩 | huì | ragout, cook, braise
锜 | qí | a kind of pen; a kind of chisel
胳 | gē | armpit, arms
叼 | diāo | holding in mouth
馄 | hún | dumpling soup, wonton
猝 | cù | abruptly, suddenly; abrupt
谀 | yú | flatter, truckle
卞 | biàn | to be impatient, in a hurry; excitable
俦 | chóu | companion, mate, colleague
雎 | jū | osprey, fishhawk; hold back
菫 | jǐn | celery, aconite
炘 | xīn | brilliant, shining, bright
鹄 | hú | target
酮 | tóng | ketones
氟 | fú | fluorine
桀 | jié | chicken roost; ancient emperor
帚 | zhǒu | broom, broomstick
荔 | lì | lichee
洱 | ěr | a lake in Yunnan
窖 | jiào | pit, cellar
薮 | sǒu | marsh, swamp; wild country; clump of trees or bushes
蔻 | kòu | 
捂 | wǔ | resist
锾 | huán | measure; money, coins
苳 | dōng | 
夤 | yín | distant place; remote; deep
璐 | lù | beautiful variety of jade
恚 | huì | anger, rage
沝 | zhuǐ | 
氦 | hài | fluorine
颚 | è | jaw
遢 | tà | careless, negligent, slipshod
渤 | bó | swelling; name of a sea gulf
舀 | yǎo | dip, ladle; ladle
猕 | mí | macacus monkey
碉 | diāo | room made of stone; watchtower
呣 | m | 
矬 | cuó | a dwarf
菈 | lā | 
氰 | qīng | cyanogen; ethane dinitrile
韭 | jiǔ | scallion, leek; radical 179
帘 | lián | a blind, screen, curtain
谒 | yè | visit, pay respects to
噤 | jìn | close; be silent, be unable speak
蓑 | suō | rain coat made of straw, coir, etc.
蹼 | pú | webbed feet of waterfowl
棹 | zhuō | oar; boat
焢 | hōng | 
拧 | níng | pinch; twist, wring; determined
臾 | yú | moment, instant, short while
疝 | shàn | hernia, rupture
蛭 | zhì | leech
捀 | fēng | 
烊 | yáng | to smelt; to melt
绁 | xiè | bridle; halter
只 | qí | only, merely, but
邈 | miǎo | far, distant, remote; slight
踽 | jǔ | to walk alone; self-reliant
尻 | kāo | end of spine; buttocks, sacrum
淙 | cóng | gurgling sound of water
銂 | zhōu | 
嘹 | liáo | used describe clarity of voice; resonant
夆 | fēng | resist
涪 | fú | river in Sichuan province
肓 | huāng | region between heart and diaphragm
刮 | guā | to blow
庖 | páo | kitchen; cooking, cuisine
鸢 | yuān | kite; Milvus species (various)
炤 | zhào | illumine, light up; reflect
跺 | duò | stamp feet, step
愍 | mǐn | pity, sympathize with
啷 | lāng | 
讴 | ōu | to sing; songs
壑 | hè | bed of torrent, narrow ravine
辘 | lù | windlass, pulley, capstan; wheel
胛 | jiǎ | the shoulder, shoulder blade
绛 | jiàng | deep red; river in Shanxi provinc
匾 | biǎn | flat, round split-bamboo contain
臊 | sāo | rank; rancid; frowzy, fetid; bashful
壅 | yōng | to obstruct
睇 | dì | look at, glance at; stare at
忉 | dāo | grieved; distressed in mind
刈 | yì | cut off, reap, mow; sickle
蹙 | cù | urgent, suddenly; grieve, lament
泵 | bèng | pump
珣 | xún | name of a kind of jade
孃 | niáng | troubled, oppressed; fat; mother
畦 | qí | sections in vegetable farm
蠋 | zhú | caterpillar
戍 | shù | defend borders, guard frontiers
蝎 | hé | scorpion
羡 | xiàn | envy, admire; praise; covet
兀 | wù | duplicate of Big Five A461
靳 | jìn | strap on a horse's breast
殁 | mò | die; death; dead
伕 | fū | common laborer
蹒 | mán | to jump over; to limp
佚 | yì | indulge in pleasures; flee
囱 | cōng | chimney, funnel
嘤 | yīng | seek friends; also used in names; the call of a bird
趺 | fū | sit cross-legged; back of the foo
贀 | wèi | 
脩 | xiū | dried meat (used as teachers payment in ancient times)
砾 | lì | gravel, pebbles, potsherds
臬 | niè | law, rule; door post
罄 | qìng | exhaust, run out, use up; empty
艋 | měng | small boat
邬 | wū | various place names; surname; transliteration of Sanskrit 'u'
掣 | chè | drag, pull; hinder by pulling back
钨 | wù | tungsten, wolfram
缭 | liáo | wind round, rap around, bind
糟 | zāo | sediment, dregs; pickle
撬 | qiào | lift, raise; pry open
噪 | zào | be noisy; chirp loudly
矕 | mǎn | to see, witness, inspect
哆 | chǐ | tremble, shiver, shudder, quiver
脍 | kuài | minced meat or fish
粼 | lín | 
孑 | jié | remaining, left-over; lonely
氐 | dǐ | name of an ancient tribe
嗄 | á | hoarse of voice
痉 | jìng | convulsions, fits
赣 | gàn | Jiangxi province; places therein
揩 | kāi | rub and wipe, dust, clean
芊 | qiān | exuberant and vigorous foliage
昝 | zǎn | a dual pronoun, I, you and me, we two
蹑 | niè | tread, step on; follow, track
鼬 | yòu | weasel, mustela itatis
甥 | shēng | sister's child
拄 | zhǔ | lean on; post; prod; ridicule
荧 | yíng | shine, shimmer; shining, dazzling
狰 | zhēng | fierce-looking, ferocious
鲛 | jiǎo | shark
跶 | tà | stumble, slip
謢 |  | 
陛 | bì | steps leading throne; throne
诎 | qù | bend, stoop, crouch; to yield
苹 | pín | apple
拺 | cè | 
趐 | xuè | 
靼 | dá | tartars
愔 | yīn | comfortable, contented, peaceful
捩 | liè | twist with hands; snap, tear
硐 | tóng | 
稹 | zhěn | 
淩 | líng | pass over, cross, traverse
顸 | hān | large face, flat face; stupid
桎 | zhí | fetters, shackles, handcuffs
刎 | wěn | behead, cut throat
榭 | xiè | kiosk, pavilion
蠕 | ruǎn | eumenes polifomis, kind of wasp
埂 | gěng | ditches for irrigation; hole
迵 | tóng | 
罡 | gāng | the name of a certain stars; the god who is supposed to live in them
颢 | hào | luminous; white, hoary
圜 | yuán | circle, surround; encircle
赁 | rèn | rent, hire; hired person
墬 | dì | 
纔 | cái | talent, ability; just, only
刨 | bào | carpenter's plane; plane, level
筊 | jiǎo | bamboo rope; bamboo object used
彊 | qiáng | stubborn, uncompromising
筌 | quán | bamboo fish trap
葄 | zuò | mat
蹊 | xī | footpath, trail; track
壸 | kǔn | palace corridor or passageway
欉 | còng | 
谖 | xuān | forget; lie, cheat, deceive
胫 | jìng | shinbone; calf of leg
宕 | dàng | stone quarry; cave dwelling
珪 | guī | a jade table conferred upon feudal princes by the emperor as a symbol of dignity and authority
椆 | chóu | 
揶 | yé | make fun of, ridicule
蓼 | liǎo | smartweed, polygonum
赀 | zī | property; wealth; to count
屄 | bī | the vagina
觎 | yú | desire strongly, covet, long for
鹧 | zhè | partridge
雕 | diāo | engrave, inlay, carve; exhaust; used for U+9D70 鵰 an eagle, vulture
掴 | guó | box one's ears, slap
賸 | shèng | leftovers, residue, remains
扈 | hù | escort, retinue; insolent
淬 | cuì | temper; dye; soak; change, alter
贲 | bì | forge ahead; energetic; surname
蝣 | yóu | mayfly, emphemera strigata
綑 | kǔn | coil, roll, bundle, tie up
潸 | shān | weep; tears flowing
瘐 | yǔ | to die in prison from cold and hunger; to treat with cruelty
玎 | dīng | jingling, tinkling
辍 | chuò | stop, suspend, halt
赈 | zhèn | relieve, aid distressed; rich
鸲 | qú | mynah; Erithacus species (various)
嘀 | dí | backbite
昃 | zè | afternoon; the sun in the afternoon sky; to decline
婬 | yín | obscene, licentious, lewd
囿 | yòu | pen up; limit, constrain
坳 | ào | a hollow in the ground, a cavity, depression; undulating, depressed
滮 | biāo | flow; (Cant.) to ooze; to spurt
蔘 | sēn | ginseng; huge
饨 | tún | stuffed dumplings
雹 | báo | hail
畀 | bì | to give
渭 | wèi | name of a river in Shanxi
掔 | qiān | sturdy
綩 | wǎn | 
胝 | zhī | callous, corn
搾 | zhà | to crush with the hand, press, squeeze, extract
軂 | lào | 
觊 | jì | covet, long for, desire
崽 | zǎi | a child, a servant; a diminutive
沓 | tà | connected, joined; repeated
褛 | lǚ | lapel, collar; tattered, threadbare
衮 | gǔn | ceremonial dress worn by the emperor
傩 | nuó | rich
虌 | biē | 
嗲 | dia3 | (Cant.) saliva; intensifying particle; inviting, coquettish; 嗲哋. 'daddy'
柰 | nài | crab-apple tree; endure, bear
鏖 | áo | to fight to the end, engage in a fierce battle
崴 | wēi | high, lofty; precipitous
濠 | háo | moat, trench, ditch
鹜 | mù | duck
忒 | tè | excessive; too; very-usually of objectionable things; to err; to mistake; changeable
揄 | yú | lift, raise; praise; hang; flap
挛 | lván | tangled; entwined; crooked
缰 | jiāng | reins, halter; bridle
锉 | cuò | carpenter's file, file smooth
筵 | yán | bamboo mat; feast, banquet
鸪 | gū | species of Taiwan pigeon
糠 | kāng | chaff, bran, husks; poor
礴 | bó | fill, extend
亳 | bó | name of district in Anhui; capital of Yin
幔 | màn | curtain, screen, tent
宓 | mì | quiet, silent; in good health
瓒 | zàn | ceremonial libation cup
陕 | shǎn | mountain pass; Shaanxi province
腱 | jiàn | tendons
誏 | lǎng | 
忾 | kài | anger, wrath, hatred, enmity
鳌 | áo | huge sea turtle
玷 | diàn | flaw in gem; flaw in character













































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































