
妥 | tuǒ | satisfactory, appropriate
肝 | gān | liver
袍 | páo | long gown, robe, cloak
罩 | zhào | basket for catching fish; cover
叛 | pàn | rebel; rebellion; rebellious
御 | yù | defend, resist, hold out against
谜 | mí | riddle, conundrum; puzzle
嫁 | jià | to marry, give a daughter in marriage
庙 | miào | temple, shrine; imperial court
肠 | cháng | intestines; emotions; sausage
谎 | huǎng | lie
潘 | pān | surname; water in which rice has been rinsed; a river that flows into the Han
埔 | bù | plain, arena; port, market
卜 | bó | radish
占 | zhān | divine; observe; versify
拦 | lán | obstruct, impede, bar, hinder
煌 | huáng | bright, shining, luminous
俄 | é | sudden(ly), soon; Russian
札 | zhá | letter, note; correspondence
骤 | zòu | procedure; gallop; sudden(ly)
陌 | mò | foot path between rice fields
澄 | chéng | purify water by allowing sediment to settle; clear, pure
仓 | cāng | granary; berth; sea
匪 | fěi | bandits, robbers, gangsters
宵 | xiāo | night, evening, dark
钮 | niǔ | button, knob; surname
岗 | gǎng | post; position
荡 | dàng | pond, pool; wash away, cleanse
卸 | xiè | lay down; retire from office
旨 | zhǐ | purpose, aim; excellent
粽 | zòng | dumpling made of glutinous rice
贸 | mào | trade, barter; mixed; rashly
舌 | shé | tongue; clapper of bell; KangXi radical 135
历 | lì | take place, past, history
叮 | dīng | exhort or enjoin repeatedly
咒 | zhòu | curse, damn, incantation
钥 | yào | key; lock
苹 | pín | apple
祭 | jì | sacrifice to, worship
屈 | qū | bend, flex; bent, crooked; crouch
陋 | lòu | narrow; crude, coarse; ugly
雀 | què | sparrow
睹 | dǔ | look at, gaze at; observe
媚 | mèi | charming, attractive; flatter
娜 | nuó | elegant, graceful, delicate
诱 | yòu | persuade, entice, induce; guide
衷 | zhōng | heart, from bottom of one's heart
菁 | jīng | flower of leek family; turnip
殿 | diàn | hall; palace; temple
撕 | sī | rip, tear; buy cloth
蠢 | chǔn | wriggle; stupid; silly; fat
惟 | wéi | but, however, nevertheless; only
嚣 | xiāo | be noisy; treat with contempt
踊 | yǒng | leap, jump
跨 | kuà | straddle, bestride, ride; carry
膀 | bǎng | upper arm; shoulder; wing
筒 | tǒng | thick piece of bamboo; pipe
纹 | wén | line, streak, stripe; wrinkle
乳 | rǔ | breast, nipples; milk, suckle
仗 | zhàng | rely upon; protector; fight; war, weaponry
轴 | zhóu | axle, axletree; pivot; axis
撤 | chè | omit; remove; withdraw
潭 | tán | deep pool, lake; deep, profound
佛 | fó | Buddha; of Buddhism; merciful percon; Buddhist image; the dead (Jap.)
桂 | guì | cassia or cinnamon
愤 | fèn | resent, hate; indignant
捧 | pěng | hold up in two hands
袖 | xiù | sleeve; put something in sleeve
埃 | āi | fine dust, dirt
壹 | yī | number one
赫 | hè | bright, radiant, glowing
谦 | qiān | humble, modest
汇 | huì | collect, compile, assemble; hedgehog
魏 | wèi | kingdom of Wei; surname
粹 | cuì | pure; unadulterated; select
傅 | fù | tutor, teacher; assist; surname
寮 | liáo | shanty, hut, shack
猴 | hóu | monkey, ape; monkey-like
衰 | shuāi | decline, falter, decrease; weaken
辜 | gū | crime, criminal offense
恳 | kěn | sincere, earnest, cordial
桶 | tǒng | pail, bucket, tub; cask, keg
吋 | cùn | inch
衫 | shān | shirt; robe; gown; jacket
瞬 | shùn | wink, blink; in a wink, a flash
冻 | dòng | freeze; cold, congeal; jelly
猎 | liè | hunt; field sports
琼 | qióng | jade; rare, precious; elegant
卿 | qīng | noble, high officer
戚 | qī | relative; be related to; sad
卓 | zhuō | profound, brilliant, lofty
殖 | zhí | breed, spawn; increase; prosper
泼 | pō | pour, splash, water, sprinkle; violent, malignant
譬 | pì | metaphor, simile, example
翰 | hàn | writing brush, pen, pencil
刮 | guā | to blow
斌 | bīn | refined, having both appearance
枉 | wǎng | useless, in vain; bent, crooked
梁 | liáng | bridge; beam; rafters; surname
庞 | páng | disorderly, messy; huge, big
闽 | mǐn | fujian province; a river; a tribe
宅 | zhái | residence, dwelling, home; grave
麟 | lín | female of Chinese unicorn
宰 | zǎi | to slaughter; to rule
梭 | suō | weaver's shuttle; go to and fro
纠 | jiǎo | investigate, inspect
丛 | cóng | bush, shrub; thicket; collection
雕 | diāo | engrave, inlay, carve; exhaust; used for U+9D70 鵰 an eagle, vulture
澳 | ào | inlet, bay; dock, bank
毙 | bì | kill; die violent death
颖 | yǐng | rice tassel; sharp point; clever
腔 | qiāng | chest cavity; hollow in body
伫 | zhù | wait; look towards; turn one's back on
躺 | tǎng | lie down, recline
划 | huà | delineate, painting, picture, drawing; draw
寺 | sì | court, office; temple, monastery
炼 | liàn | smelt, refine; distill, condense
胃 | wèi | stomach; gizzard of fowl
昂 | áng | rise, raise; proud, bold; upright
勋 | xūn | meritorious deed; merits; rank
骄 | jiāo | spirited horse; haughty
卑 | bēi | humble, low, inferior; despise
蚂 | mǎ | ant; leech
墓 | mù | grave, tomb
冥 | míng | dark, gloomy, night; deep
妄 | wàng | absurd, foolish, reckless; false
董 | dǒng | direct, supervise; surname
淋 | lín | drip, soak, drench; perfectly
卢 | lú | cottage, hut; surname; black
偿 | cháng | repay, recompense; restitution
姻 | yīn | relatives by marriage
砸 | zá | smash, crush, break; pound, mash
践 | jiàn | trample, tread upon, walk on
殷 | yīn | many, great; abundant, flourishing
润 | rùn | soft, moist; sleek; freshen
铜 | tóng | copper, brass, bronze cuprum
盲 | máng | blind; unperceptive, shortsighted
扎 | zhā | pull up; pierce; struggle free
驳 | bó | varicolored, variegated; mixed; contradict, argue; suddenly
湿 | shī | wet, moist, humid, damp; an illness
凑 | còu | piece together, assemble
炒 | chǎo | fry, saute, roast, boil, cook
尿 | niào | urine; urinate
穴 | xuè | cave, den, hole; rad. no. 116
蟑 | zhāng | cockroach
拓 | tuò | expand; open up; support or push
诡 | guǐ | deceive, cheat, defraud; sly
谬 | miù | error, exaggeration; erroneous
淫 | yín | obscene, licentious, lewd
荡 | dàng | pond, pool; wash away, cleanse
鼎 | dǐng | large, three-legged bronze caldron
斩 | zhǎn | cut, chop, sever; behead
尧 | yáo | a legendary ancient emperor-sage
伪 | wěi | false, counterfeit, bogus
饿 | è | hungry; greedy for; hunger
驰 | chí | go quickly or swiftly; hurry
蚊 | wén | mosquito; gnat
瘟 | wēn | epidemic, plague, pestilence
肢 | zhī | human limbs; animal feet
挫 | cuò | push down; chop down; grind
槽 | cáo | trough; manger; vat, tank; groove; a distillery
扶 | fú | support, help; protect; hold on
兆 | zhào | omen; million; mega; also trillion. China = million; Japan and Taiwan = trillion
僧 | sēng | Buddhist priest, monk; san of Sanskrit sangha
昧 | mèi | obscure, dark; darken
螂 | láng | mantis, dung beetle
匹 | pǐ | bolt of cloth; counter for horses
芝 | zhī | sesame; a purplish or brown mushroom thought to have miraculous powers; 'a divine and relicitous plant' (Karlgren)
奸 | jiān | adultery, debauchery; debauch
聘 | pìn | engage, employ; betroth
眷 | juàn | take interest in, care for
熙 | xī | bright, splendid, glorious
猩 | xīng | species of orangutan
痒 | yǎng | itch
帖 | tiē | invitation card; notice
贫 | pín | poor, impoverished, needy
贿 | huì | bribe; bribes; riches, wealth
扑 | pū | pound, beat, strike; attack
笼 | lóng | cage; cage-like basket
丘 | qiū | hill; elder; empty; a name
颠 | diān | top, peak, summit; upset
讶 | yà | express surprise, be surprised
玮 | wěi | type of jade; rare, valuable
尹 | yǐn | govern; oversee; director
诇 | xiòng | to spy; to give information; shrewd
柱 | zhù | pillar, post; support; lean on
袁 | yuán | robe; surname
漆 | qī | varnish, lacquer, paint
毋 | wú | do not; not; surname; rad. 80
辣 | là | peppery, pungent, hot; cruel
棍 | gùn | stick, cudgel; scoundrel
矩 | jǔ | carpenter's square, ruler, rule
佐 | zuǒ | assist, aid, second; subordinate
澡 | zǎo | wash, bathe
渊 | yuān | gulf, abyss, deep
痞 | pǐ | dyspepsia, spleen infection
矮 | ǎi | short, dwarf; low
戈 | gē | halberd, spear, lance; rad. 62
勃 | bó | suddenly, sudden, quick
吞 | tūn | swallow; absorb, annex, engulf
肆 | sì | indulge; excess; numeral four; particle meaning now, therefore; shop
抖 | dǒu | tremble, shake, rouse; give shake
咳 | ké | cough
亭 | tíng | pavilion; erect
淘 | táo | wash in sieve; weed out
穗 | suì | ear of grain; tassel; Guangzhou
黏 | nián | stick to; glutinous, sticky; glue
冈 | gāng | ridge or crest of hill
歧 | qí | fork of road; branching off
屑 | xiè | bits, scraps, crumbs, fragments
拢 | lǒng | collect, bring together
潇 | xiāo | sound of beating wind and rain; light, ethereal
谐 | xié | harmonize, agree; joke, jest
遣 | qiǎn | send, dispatch; send off, exile
诊 | zhěn | examine patient, diagnose
祈 | qí | pray; entreat, beseech
霜 | shuāng | frost; crystallized; candied
熬 | áo | cook down, to boil; endure
饶 | ráo | bountiful, abundant, plentiful
闯 | chuǎng | rush in, burst in, charge in
婉 | wǎn | amiable, congenial; restrained
致 | zhì | delicate, fine; dense
雁 | yàn | wild goose
觅 | mì | seek; search
讽 | fēng | recite, incant; satirize
膜 | mò | membrane; to kneel and worship
挣 | zhēng | to strive, endeavor, struggle; to earn; to pierce; to wedge in
斤 | jīn | a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69
帆 | fān | sail; boat
铺 | pū | spread out, arrange; shop, store; place to sleep, bed
凄 | qī | bitter cold, miserable, dreary
瑟 | sè | large stringed musical instrument; dignified, massive; sound of wind
艇 | tǐng | small boat, dugout, punt
壶 | hú | jar, pot, jug, vase; surname
苑 | yuàn | pasture, park, garden; mansion
悬 | xuán | hang, suspend, hoist; be hung
詹 | zhān | surname; talk too much, verbose
诠 | quán | explain, expound, comment on
滤 | lǖ | strain out, filter
掰 | bāi | 















































































































































































































































































































































































































































































































































































































