
疵 | cī | flaw, fault, defect; disease
冗 | rǒng | excessive; superfluous
缉 | qì | to sew in close stitches
絮 | xù | waste cotton, raw silk or cotton
啄 | zhuó | to peck; (Cant.) to slander
沸 | fèi | boil, bubble up, gush
萃 | cuì | dense, thick, close-set; to collect together
嘶 | sī | neighing of a horse; gravel voiced, husky throated
鸳 | yuān | male mandarin duck (Aix galericulata)
禽 | qín | birds, fowl; surname;; capture
惫 | bèi | tired, weary, fatigued
徨 | huáng | doubtful, irresolute, vacillating
屐 | jī | wooden shoes, clogs
舆 | yú | cart, palanquin; public opinion
邂 | xiè | unexpected meeting; encounter by
掀 | xiān | lift, raise; stir
嫖 | piào | patronize prostitutes, frequent
苟 | gǒu | careless, frivolous; illicit; grammatical particle: if, but, if only; surname; grass name; distinguish DKW 30853 (ji4)
台 | tái | table
矫 | jiǎo | correct, rectify, straighten out
铎 | duó | bell; surname
棱 | léng | squared timber; angle, edge
哗 | huā | rushing sound; gush forward
徊 | huái | linger, walk to and fro, hesitain
拱 | gǒng | fold hands on breast; bow, salute
蕙 | huì | species of fragrant orchid
徬 | páng | to wander about, walk along side of; to be next to
滞 | zhì | block up, obstruct; stagnant
吠 | fèi | bark
妞 | niū | girl
氾 | fàn | overflow, flood, inundate
芹 | qín | celery
叩 | kòu | knock, ask; kowtow, bow
朽 | xiǔ | decayed, rotten; rot, decay
侪 | chái | a company, companion; together
赦 | shè | forgive, remit, pardon
汐 | xì | night tides, evening ebb tide
丰 | fēng | abundant, lush, bountiful, plenty
虔 | qián | act with reverence; reverent
茅 | máo | reeds, rushes, grass; surname
棠 | táng | crab apple tree; wild plums
仑 | lún | logical reasons, logical order
膳 | shàn | meals, provisions, board
魉 | liǎng | a kind of monster
儡 | lěi | puppet, dummy
鸯 | yāng | female mandarin duck (Aix galericulata)
懦 | nuò | weak, timid, cowardly
渗 | shèn | soak through, infiltrate
邵 | shào | surname; various place names
筱 | xiǎo | dwarf bamboo; diminutive in person's name
畜 | chù | livestock, domestic animals
崖 | yá | cliff, precipice; precipitous
瑕 | xiá | flaw in gem; fault, defect
蕊 | ruǐ | unopened flowers, flower buds
揣 | chuǎi | put things under clothes
擒 | qín | catch, capture, seize, arrest
挂 | guà | hang, suspend; suspense
屯 | tún | village, hamlet; camp; station
莽 | mǎng | thicket, underbrush; poisonous
矽 | xì | silicon
侏 | zhū | small, little, tiny, dwarf
弧 | hú | wooden bow; arc, crescent
澈 | chè | thoroughly, completely
饺 | jiǎo | stuffed dumplings
奎 | kuí | stride of man; one of the twenty-eight lunar mansions
