
丫 | yā | forked; bifurcation
谷 | gǔ | corn, grain, cereal; lucky
矗 | chù | straight, upright, erect, lofty
瘴 | zhàng | malaria pestilential vapors
璟 | jǐng | luster of gem
籽 | zǐ | seed, pip, pit, stone
晒 | shài | dry in sun, expose to sun
沥 | lì | trickle, drip; strain; dregs
弩 | nǔ | cross-bow, bow; downward stroke
洸 | guāng | sparkle, glitter
婪 | lán | covet; covetous, avaricious
翊 | yì | flying; assist, help; respect
背 | bèi | back; back side; behind; betray
俑 | yǒng | wooden figure buried with dead
磕 | kē | hit; collide, knock into; sound
暐 | wěi | the bright shining of the sun
撩 | liáo | lift up, raise; leave, depart
峥 | zhēng | high, lofty, noble; steep, perilous
鹊 | què | magpie; Pica species (various)
昕 | xīn | dawn; early morning; day
寐 | mèi | sleep; be asleep
徙 | xǐ | move one's abode, shift, migrate
遴 | lín | select, choose; surname
濯 | zhuó | wash out, rinse; cleanse
堉 | yù | ground, fertile land
跋 | bá | go by foot; epilogue, colophon
陨 | yǔn | fall, slip; let fall; die
丕 | pī | great, grand, glorious, distinguished
簇 | cù | swarm, crowd together, cluster
鹂 | lí | Chinese oriole; Oriolus oriolus
笋 | sǔn | bamboo shoot; joint; tendon
鬓 | bìn | hair on temples
竑 | hóng | be vast and endless; broad
绎 | yì | to unravel or unreel silk; to interpret, explain















































































































































































































































































































































































































































































































































































































