
逾 | yú | go over, pass over, exceed
涅 | niè | blacken; black mud, slime; tatto
扳 | bān | pull; drag; right itself
惘 | wǎng | disconcerted, dejected, discouraged
凳 | dèng | bench; stool
呃 | è | belch; hiccup
掘 | jué | dig, excavate; excavate cave
捍 | hàn | ward off, guard against, defend
榔 | láng | betel-nut tree
窍 | qiào | hole, opening, aperture
蜗 | guā | a snail, Eulota callizoma
旷 | kuàng | extensive, wide, broad; empty
梵 | fàn | Buddhist, Sanskrit
暇 | xiá | leisure, relaxation, spare time
稻 | dào | rice growing in field, rice plant
柠 | níng | lemon
抉 | jué | choose, select; gouge, pluck out
辗 | zhǎn | turn over, roll
蔚 | wèi | luxuriant, thick; ornamental
钩 | gōu | hook, barb; sickle; stroke with
卜 | bó | radish
莺 | yīng | oriole, green finch; Sylvia species (various)
匡 | kuāng | correct, restore, revise
蜘 | zhī | spider
祯 | zhēn | lucky, auspicious, good omen
哔 | bì | used in transliterations
窟 | kū | hole, cave; cellar; underground
亟 | jí | urgently, immediately, extremely
谛 | dì | careful, attentive
溢 | yì | overflow, brim over; full
黛 | dài | blacken eyebrows; black
晦 | huì | dark, unclear, obscure; night
伶 | líng | lonely, solitary; actor
逮 | dài | seize, catch; reach, arrive
傍 | bàng | by side of, beside, near, close
葱 | cōng | scallions, onions, leeks
刁 | diāo | tricky, sly, crafty, cunning
堤 | dī | dike
恍 | huǎng | seemingly; absent-minded
匣 | xiá | small box, case, coffer
谍 | dié | an intelligence report; to spy; spying
禧 | xī | happiness; congratulations
轿 | jiào | sedan-chair, palanquin
耸 | sǒng | urge on; rise up; stir, excite; to raise up; lofty
瀚 | hàn | vast, wide, extensive
斐 | fěi | graceful, elegant, beautiful
忿 | fèn | get angry; fury, exasperation
泓 | hóng | clear, deep pool of water
拐 | guǎi | kidnap, abduct; turn
驴 | lǘ | donkey, ass
罕 | hǎn | rare, scarce; surname
沫 | mò | froth, foam, bubbles, suds
绽 | zhàn | ripped seam, rend, crack
刃 | rèn | edged tool, cutlery, knife edge















































































































































































































































































































































































































































































































































































































